mother,daughter
67,69.2
67,69
67,69
66.5,65.5
66.5,65.5
64,68
64,67
64,64.5
64,63
58.5,66.5
58.5,62.5
58.5,62.5
68,69.5
68,70.5
68,64
66.5,70.5
66.5,68
66.5,66
66,66
65.5,65.5
62,68
62,67
62,67
62,66
62,63.5
62,63
61,65
67,62
66.5,66.7
65,68.7
65,66.5
65,64.5
65,63.5
64.5,66.5
64.5,62.3
64,66
64,64.5
64,64
63,62.7
69,70
69,69
69,68.5
69,68
69,66
68,68.5
68,68
67,67
65,66
65,65.5
65,65
65,65
65.5,65.5
64,66
64,63
63,65
63,63
63,63
63,70.5
63,70
63,66.5
63,63
63.5,67.5
63.5,67.2
63.5,66.7
62,64
62,66
62,65
62,65
62,67.5
62,63.5
62,68
61,65.7
69,67
67,67
66,67
66,67
66,66.5
66,66
66,64.5
66,63
66,67
66,66
65.5,66
65.5,65
65.5,65.2
65,62
64,68
64,68
64,67.5
64,66.5
64,66.5
64,66
64,65.5
64,65
64.5,67
64.5,66
64.5,64.5
64.5,64.5
64.5,62
64.5,62
63,67.5
63,64.5
63.5,66
63.5,65
63.5,63.5
63,65
63,65
63,64
63,63
63,63
63,63.5
62,64.5
62,62.5
62,61.5
62,64.5
62,60
62.5,64
62.5,64
62.5,64
62.5,62.5
62,64.5
62,64
61,62
69,69
69,68
69,66
69,64
69,62
67,66
67,64
67,60
67,67.5
66.5,69.2
66.5,67.2
66.5,66.5
66.5,66
66.5,66
66.5,64.2
66.5,63.7
65,68
65,65
65,61.5
65,61
65,61
65,64.5
65,63
65,62
65,64.5
65,62.5
65,62.5
65,67
65,65
65,65
65,63
65,69
65,67
65,65.7
65,62
65,65
64.7,66.5
64.7,65.5
64.7,64.7
64.7,64.5
64,67
64,65.5
64.2,62.5
64.2,61.2
64.2,60.1
64,65.5
64,65
64.5,60
64,65
64,64
64,62
64,69
64,65
64,64
63.7,63.7
63.7,63.2
63.7,62.5
63.7,62.2
63.7,61
63,65.5
63,63.5
63,64.5
63,64
63.5,67.5
63.5,63.5
63,63.7
63,62
63,62
63,61
62,65
62,64
62,63
62.7,64
62.7,63.5
62.7,63.2
62,60
60,65
60,63
60,65
60,65
58.5,63
58,66
58,65
58,63
68.5,66
68.5,66
68.5,65.5
68.5,65
68.5,65
68.5,64
68.5,64
67,64
66,65.5
66,65
66,62.7
66,62.5
66,65
66,63
66,62.5
66.5,61
66.5,64.5
66.5,64
66.5,68.5
66.5,67.5
66.5,66
66.5,63
66.5,63
66,66.5
66,65.5
66,64.5
66,66.5
66,65.5
66,65.5
66,65
66,64
65,65
65,64
65,63.5
65,61
64.5,65.2
64.5,64.5
64.5,63.7
64.5,60
64,65
64,63.5
63.5,65.5
63,67.5
63,63.5
63,66
63,62
63.5,65
63.5,63
63.5,62
63.5,61
63.5,63.7
63.5,63
62,62.5
62,63
62,65.2
62,64.7
62,64.5
62,63.5
62,63.5
62,62.5
62,62
62,61.5
62.5,63.5
62.5,62.5
62.5,62.5
62.5,62
62,66
62,66
61,63
61,62
61,63.5
61,62
61,62
60,68
60,62.5
60,61.7
60,60.5
70.5,61.7
67,67
66.5,63.2
65.5,64
65.5,66.5
65.5,65.2
65.5,61.5
65,68
65,66
65,62
65,61.5
65,61
65,60
65,64
65,63.5
65,63
64,65
64,64
64,63
64,63
64,62
64,61
64,65.5
64,62
64,62.5
64.5,62
64,66
64,66
64,65
64,65
64,65
64,64
64,63
63,66
63,62
63,61.5
63.5,65.5
63,64.5
63,64
63,63
63,62
63,62
63,64
63,63.5
63,61
63.5,64.5
62,61.7
61,63.5
61,63
60,61
60,61
60,60
60,60
60,60
60,56
60,60
59,65
59,65
59,62
59,61
66.2,65.5
66.2,63.5
66,68
66,65.5
66,62
65,65.5
65,65
65,64.5
65,63.5
65.5,65.5
65.5,65.5
65.5,63
65.5,63
65.5,60
65,62
65,62
65,64
65,64
65,63
65,63
65,63
65,63
65,63
65,62.5
65,62
63.5,63.5
63,63
62,66
67,62
67,62
67,61.5
67,67
67,64
67,64
67,62
67,60
67,60
66,67
66,66.5
66,65.5
66,66
66,65
66,62
66,61
65,62.5
65,60.5
65,60.5
65,57.5
65.5,66
65.5,65
63.5,64.5
63.5,62
63,65
63,65
63,63
62.5,63.5
62.5,62.5
62.5,62.5
62.5,62.5
62.5,62.5
60,60
59,65
59,64
59,63
59,62
59,61
59,60
59,58
59,57
67,65
67,63
66,63
66,63
66,60
66,65
66,61
65,65
65,65
65,62
65,62
65,61
65,59
65.5,65.5
65,64.5
65,60.5
64,64
64,64
64,62.5
64,60.5
63,63
63,63
63,63.5
60,62
64,65.5
64,64
64,62
64,62
64,61
64,67
64,65
64,64
64,64
64,60
60,60
63.5,68.5
63.5,63.5
66,62
66,61
63,57
